"","X","Country","ptap","bore","pspr","uspr","pwel","uwel","surw","tles","tmor","rain","phom","norm","distToCentroid","clusters"
"50",50,"Myanmar",3.2,28.1,2.7,1.9,22.3,8.5,6.9,44.1,2,2,2.1,58.1817840908991,6.43792399845795,1
"51",51,"Namibia",26.1,7.5,0.3,0.4,1.5,5.5,3.9,37.5,8,0.1,36.8,60.0826097968455,33.3151407963178,4
"52",52,"Nepal",19.9,35.9,1.5,1,1.3,1,2,28.9,1.9,0,7.1,50.8329617472758,13.7867463420813,1
"53",53,"Nicaragua",3.2,0,0,0,0,0,3.8,21.2,1.7,0.2,31.1,38.0034208986507,11.2359518981229,4
"54",54,"Niger",24.5,14.8,0.1,0.6,20.4,31,1.2,54.4,33.2,0,2.7,79.1653333221051,14.545625232748,1
"55",55,"Nigeria",7.5,37.2,0.5,1.6,11.4,13.5,9.4,59.5,6.9,2,1.7,73.744287914387,9.12457982502991,1
"56",56,"Pakistan",6.5,54.5,1.2,1.2,2,1,1.7,20.5,4.9,0.1,20.4,62.3193388925139,2.30036919684313,1
"57",57,"Papua New Guinea",4.2,1.4,6.6,29.3,3.1,9.6,15.2,49.9,13.2,15.3,6.7,64.7895824959538,2.12966488509189,3
"58",58,"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,26.7674690005278,4
"59",59,"Peru",2.4,0,0,0,0,0,2.9,19.6,1.7,0.1,71.7,74.44541624573,11.4270487418257,2
"60",60,"Philippines",3.2,12.4,5.1,1.7,3.5,1.6,0.2,16.8,1.6,0.4,20.1,29.9452834349585,3.17781443443074,4
"61",61,"Rwanda",28.6,1.2,32.8,13.9,2.2,0.9,5.9,58.4,27,1.1,0.3,79.1818792401393,16.5219616292774,3
"62",62,"Sao Tome and Principe",57.7,0.3,5,0,0.6,0.4,5.3,57.8,13.1,0,3.9,83.1303193786719,20.4704017678101,3
"63",63,"Senegal",7.7,2.9,0.1,0.1,3.3,13.6,0.4,18.7,5.8,0.1,22.1,33.6968841289517,6.92941512842398,4
"64",64,"Sierra Leone",16.2,14.8,1.9,8.1,24.7,5.7,15.7,64.3,10.6,0.9,1.6,75.4320223777674,12.7721047669055,3
"65",65,"South Africa",14.1,2.8,0.3,0.9,0.2,1.3,2.3,16.4,4.5,0.5,45.1,50.3789638638986,12.6394036400057,2
"66",66,"Tajikistan",13.8,9.3,1.2,1.8,2.1,0.4,12.1,21.6,2.3,0.1,25.8,39.624361193589,12.8568921930612,4
"67",67,"Tanzania",17.2,1.9,2.2,6.7,8.9,17.5,10.3,36.8,22,2.4,6.7,52.245765378641,10.4141522322209,3
"68",68,"Timor-Leste",23.6,3.8,5.2,12.5,5.9,3.4,3.7,23.9,7.7,0.1,22.8,44.3294484513399,17.5619794508121,4
"69",69,"Togo",16,29.5,0,0.5,6.1,13.6,13.8,62.5,9.3,0.9,1.9,74.4061153400714,9.78640725071429,1
"70",70,"Turkey",1.7,2.2,7.6,0.4,1.3,0.1,0.1,5.2,1.4,0,49.9,50.8563663664639,12.1620011374404,2
"71",71,"Turkmenistan",6.9,0,0,0,0,0,0,14.9,1.1,0,25.7,30.5175359424708,3.75006694194308,4
"72",72,"Uganda",8.6,42.3,5.2,6.1,5.8,11.7,5.9,49.3,29.5,1.1,2.5,73.7634055612944,9.14369747193734,1
"73",73,"Ukraine",2.5,4,0.4,0.1,22,1,0,0,0,0,55.6,59.9898324718448,3.02853503205955,2
"74",74,"Uzbekistan",18,0,0,0,0,0,3.4,24.5,2.3,0.2,59.7,67.1210101235075,4.10264261960322,2
"75",75,"Vietnam",1.4,0,0,0,0,0,6.2,0,0,11.8,0,13.4029847422132,13.3644842583146,4
"76",76,"Yemen",0,13.9,2.2,0,0,0,2,3.2,8.2,3.4,0,17.0613598520165,9.70610914851128,4
"77",77,"Zambia",8.3,23.9,0.5,2.8,12.9,17.2,7.6,52.6,10.1,0.2,7.3,63.9554532467717,0.664254842585365,1
"78",78,"Zimbabwe",5.5,29.6,1.3,3.3,16.7,10.9,7.3,45.4,16.5,0,14.1,62.4675915975636,2.15211649179345,1
